RX,RY,RZ,CZ
9.601663824238137e-14,1.9257828590241396e-13,-2.7755575615628914e-17,0.15437513624460458
9.603514195944983e-14,1.925782859023792e-13,-2.7755575615628914e-17,0.1543751362446046
4.689876533480752e-05,2.5183731965144677e-07,6.817332198905969e-07,0.15208423001877924
2.614897908225102e-06,2.9228176467936167e-08,9.283007470002689e-07,0.14980170107754656
7.119545051004182e-06,3.0837781819246795e-07,4.855344289744616e-07,0.14752783549188797
2.280883349580862e-05,2.618339907555195e-08,2.8051389047968246e-08,0.14526291965066704
2.595714798868585e-05,1.9006580601181156e-08,5.509387153892299e-07,0.14300723979231839
1.777418823334261e-05,6.557399178946592e-08,3.7587419160605615e-07,0.14076108153068248
6.340100440105725e-06,7.190990980935312e-08,6.315558834804468e-09,0.13852472937972982
1.1533718026178604e-07,4.8926913453225354e-08,1.9780656040274652e-07,0.13629846627844328
3.3082784109990715e-06,1.772451492319065e-08,3.6643804343038807e-07,0.1340825731202798
1.0677102992185343e-05,1.524108532842457e-10,1.3671616661443647e-07,0.13187732829017035
1.2562713148162855e-05,1.504107215802177e-08,3.5066677687059393e-09,0.12968300721135648
7.61462441251045e-06,5.166948181145478e-08,1.6749479454751368e-07,0.12749988190557052
1.831119940590188e-06,6.361423970325896e-08,2.2828156800588826e-07,0.12532822056817966
3.675408438998068e-08,3.886632775936928e-08,6.990423357969643e-08,0.12316828716155194
2.2104537678468817e-06,1.1197250917198486e-08,6.09240531396053e-09,0.12102034102813841
5.293568094158149e-06,3.615681280204906e-10,1.1788760673079907e-07,0.11888463652421069
6.536104598042129e-06,2.0494461004757428e-09,1.4796060252360644e-07,0.11676142267738275
5.210438325811811e-06,7.218076375637244e-09,4.145587727721097e-08,0.11465094286749368
2.474146972917286e-06,1.0684345413332731e-08,5.794754061780169e-09,0.11255343453255794
3.342234862185669e-07,1.0843767950101712e-08,8.211580025456906e-08,0.11046912889978092
2.3830845800378397e-07,8.111924959791445e-09,9.683466764161168e-08,0.10839825074269628
1.865016104629998e-06,4.024720699778284e-09,2.369111389632055e-08,0.10634101816352642
3.317739330729158e-06,7.231398539106263e-10,6.158980132927597e-09,0.10429764240129978
3.0746229421170694e-06,2.357198796015185e-10,5.9450456290660824e-08,0.10226832766497333
1.5189029397098525e-06,3.1753655822506e-09,6.210437170528358e-08,0.10025327099145327
2.0522346508977462e-07,7.532791958232193e-09,1.1189606235312625e-08,0.09825266212656415
1.2409804463478892e-07,9.64465137082877e-09,7.811509955747333e-09,0.09626668342959335
9.710848122547444e-07,7.694686287197166e-09,4.466319328289691e-08,0.09429550979954461
1.7493417353350689e-06,3.591728042637251e-09,3.732911727792806e-08,0.09233930862199143
